Type,Count,Allocated(MB),Resident(MB)
"System.Collections.Generic.EnumEqualityComparer<UnityEngine.Rendering.RenderGraphModule.RenderGraphProfileId>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData>>",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderer.<>c",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.<>c",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>>",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.<>c",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugHandler.<>c",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>>",1,0.000,0.000
"UnityEngine.Rendering.Universal.Internal.ForwardLights.<>c",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>>",1,0.000,0.000
"UnityEngine.Rendering.Universal.MotionVectorRenderPass.<>c",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>>",1,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRenderer.<>c",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool<UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphObjectPool.SharedObjectPool.<>c<UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>>",1,0.000,0.000
"System.Collections.Generic.EnumEqualityComparer<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.NativePassCompiler.NativeCompilerProfileId>",1,0.000,0.000
"RenderGraphCompilationCache.<>c__11<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.CompilerContextData>",1,0.000,0.000
"OVRObjectPool.Storage.<>c<System.Collections.Generic.List<Meta.XR.MRUtilityKit.MRUKAnchor>>",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<System.Collections.Generic.List<Meta.XR.MRUtilityKit.MRUKAnchor>>",1,0.000,0.000
"System.Collections.Generic.LowLevelDictionary.DefaultComparer<System.Int32,System.Threading.Tasks.Task,System.Int32>",1,0.000,0.000
"System.Collections.Generic.GenericEqualityComparer<UnityEngine.Hash128>",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplayGPUResidentDrawer.SettingsPanel.<>c",1,0.000,0.000
"UnityEngine.Rendering.ListPool.<>c<UnityEngine.Rendering.DebugUI.Widget>",1,0.000,0.000
"System.Collections.Generic.GenericComparer<System.String>",1,0.000,0.000
"UnityEngine.Rendering.CommandBufferPool.<>c",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<OVROverlay>",1,0.000,0.000
"UnityEngine.Pool.GenericPool.<>c<UnityEngine.Experimental.Rendering.XRLayout>",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsVolume.WidgetFactory.<>c",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsMaterial.WidgetFactory.<>c",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<UnityEngine.Rendering.DebugUI.Widget>",1,0.000,0.000
"System.Threading.CancellationToken.<>c",1,0.000,0.000
"System.Threading.Tasks.Task.<>c",1,0.000,0.000
"System.EventArgs",1,0.000,0.000
"System.Net.Sockets.Socket.<>c",1,0.000,0.000
"OVRTask.<>c<System.Boolean>",1,0.000,0.000
"System.Collections.Generic.EnumEqualityComparer<OVRPermissionsRequester.Permission>",1,0.000,0.000
"OVRTracker",1,0.000,0.000
"OVRTask.<>c<OVRResult<System.Collections.Generic.List<OVRAnchor>,OVRAnchor.FetchResult>>",1,0.000,0.000
"UnityEngine.Rendering.DebugUI.EnumField.<>c",1,0.000,0.000
"OVRTelemetry.QPLTelemetryClient",1,0.000,0.000
"OVRTelemetry.NullTelemetryClient",1,0.000,0.000
"System.Collections.Generic.ArraySortHelper<System.UInt64>",1,0.000,0.000
"System.Collections.Generic.ArraySortHelper<System.UInt64,System.String>",1,0.000,0.000
"System.Collections.Generic.GenericComparer<System.UInt64>",1,0.000,0.000
"UnityEngine.Rendering.DebugUI.EnumField.<>c<System.Int32>",1,0.000,0.000
"UnityEngine.Rendering.ListPool.<>c<System.Int32>",1,0.000,0.000
"UnityEngine.Rendering.ListPool.<>c<UnityEngine.GUIContent>",1,0.000,0.000
"UnityEngine.Rendering.DebugUI.RuntimeDebugShadersMessageBox.<>c",1,0.000,0.000
"UnityEngine.Rendering.DebugUI.Panel.<>c",1,0.000,0.000
"UnityEngine.Pool.CollectionPool.<>c<System.Collections.Generic.List<UnityEngine.Camera>,UnityEngine.Camera>",1,0.000,0.000
"UnityEngine.Rendering.DebugUI.EnumField.<>c<System.Enum>",1,0.000,0.000
"System.Collections.Generic.GenericComparer<UnityEngine.Rendering.DebugUI.Panel>",1,0.000,0.000
"System.Collections.Generic.ArraySortHelper<UnityEngine.Rendering.DebugUI.Panel>",1,0.000,0.000
"System.Threading.Tasks.SynchronizationContextAwaitTaskContinuation.<>c",1,0.000,0.000
"OVRTask.<>c<Meta.XR.MRUtilityKit.MRUK.LoadDeviceResult>",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<System.Action>",1,0.000,0.000
"OVRPlugin.<>c",1,0.000,0.000
"UnityEngine.Rendering.GraphicsSettings.<>c",1,0.000,0.000
"UnityEngine.Experimental.Rendering.BuiltinRuntimeReflectionSystem",1,0.000,0.000
"Unity.Properties.Internal.ReflectedPropertyBagProvider.<>c",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.WhiteSpace>,UnityEngine.UIElements.WhiteSpace>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Visibility>,UnityEngine.UIElements.Visibility>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflowPosition>,UnityEngine.UIElements.TextOverflowPosition>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.TextGeneratorType>,UnityEngine.TextGeneratorType>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.TextAnchor>,UnityEngine.TextAnchor>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.SliceType>,UnityEngine.UIElements.SliceType>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleInt,System.Int32>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.OverflowClipBox>,UnityEngine.UIElements.OverflowClipBox>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.FontStyle>,UnityEngine.FontStyle>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleFontDefinitionProperty.<>c",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleFontDefinition,UnityEngine.UIElements.FontDefinition>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleFont,UnityEngine.Font>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.EditorTextRenderingMode>,UnityEngine.UIElements.EditorTextRenderingMode>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleTranslate,UnityEngine.UIElements.Translate>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.EasingFunction>,System.Collections.Generic.List<UnityEngine.UIElements.EasingFunction>>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.StylePropertyName>,System.Collections.Generic.List<UnityEngine.UIElements.StylePropertyName>>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.TimeValue>,System.Collections.Generic.List<UnityEngine.UIElements.TimeValue>>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleTransformOrigin,UnityEngine.UIElements.TransformOrigin>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleTextShadow,UnityEngine.UIElements.TextShadow>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflow>,UnityEngine.UIElements.TextOverflow>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleScale,UnityEngine.UIElements.Scale>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleRotate,UnityEngine.UIElements.Rotate>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Position>,UnityEngine.UIElements.Position>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Overflow>,UnityEngine.UIElements.Overflow>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Justify>,UnityEngine.UIElements.Justify>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Wrap>,UnityEngine.UIElements.Wrap>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.FlexDirection>,UnityEngine.UIElements.FlexDirection>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.DisplayStyle>,UnityEngine.UIElements.DisplayStyle>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleCursor,UnityEngine.UIElements.Cursor>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleFloatProperty.<>c",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleFloat,System.Single>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleLengthProperty.<>c",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleLength,UnityEngine.UIElements.Length>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleBackgroundSize,UnityEngine.UIElements.BackgroundSize>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleBackgroundRepeat,UnityEngine.UIElements.BackgroundRepeat>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleBackgroundPosition,UnityEngine.UIElements.BackgroundPosition>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleBackgroundProperty.<>c",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleBackground,UnityEngine.UIElements.Background>",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleColorProperty.<>c",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleColor,UnityEngine.Color>",1,0.000,0.000
"Unity.Properties.TypeConversion.PrimitiveConverters.<>c",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<Unity.Properties.ConversionRegistry.ConverterKey>",1,0.000,0.000
"Unity.Properties.ConversionRegistry.ConverterKeyComparer",1,0.000,0.000
"UnityEngine.UIElements.ConverterGroups.<>c",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<UnityEngine.UIElements.TypeConverterRegistry.ConverterKey>",1,0.000,0.000
"UnityEngine.UIElements.TypeConverterRegistry.ConverterKeyComparer",1,0.000,0.000
"UnityEngine.UIElements.InlineStyleAccessPropertyBag.InlineStyleProperty.<>c<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Align>,UnityEngine.UIElements.Align>",1,0.000,0.000
"UnityEngine.InputSystem.Layouts.InputControlLayout.Builder.ControlBuilder.<>c",1,0.000,0.000
"UnityEngine.InputSystem.Layouts.InputControlLayout.<>c",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<Meta.XR.MRUtilityKit.MRUKRoom>",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<System.Action<UnityEngine.Object>>",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<System.Action<System.Boolean>>",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<System.Action<UnityEngine.GameObject,UnityEngine.Material,UnityEngine.Material>>",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<System.Action<System.Boolean,UnityEngine.Object>>",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<System.Action<System.Boolean,UnityEngine.Material>>",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<System.Action<System.Object,TMPro.Compute_DT_EventArgs>>",1,0.000,0.000
"System.Collections.Generic.GenericEqualityComparer<OVRAnchor.Telemetry.Key>",1,0.000,0.000
"System.Collections.Generic.GenericEqualityComparer<OVRAnchor.DeferredKey>",1,0.000,0.000
"UnityEngine.Rendering.Universal.UniversalRenderPipeline.<>c",1,0.000,0.000
"System.Collections.Generic.GenericComparer<System.UInt32>",1,0.000,0.000
"System.Collections.Generic.ArraySortHelper<System.UInt32>",1,0.000,0.000
"System.DefaultBinder",1,0.000,0.000
"UnityEngine.InputSystem.InputActionRebindingExtensions.DeferBindingResolutionWrapper",1,0.000,0.000
"UnityEngine.Rendering.DebugManager.<>c",1,0.000,0.000
"UnityEngine.InputSystem.InputManager.<>c",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<UnityEngine.InputSystem.InputDevice>",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettingsRenderGraph",1,0.000,0.000
"UnityEngine.Rendering.Universal.DebugDisplaySettingsCommon",1,0.000,0.000
"System.Collections.Generic.EnumEqualityComparer<UnityEngine.Rendering.Universal.URPProfileId>",1,0.000,0.000
"UnityEngine.Rendering.FrameTimeSampleHistory.<>c",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettings.IDebugDisplaySettingsDataComparer<UnityEngine.Rendering.Universal.UniversalRenderPipelineDebugDisplaySettings>",1,0.000,0.000
"UnityEngine.Rendering.DebugDisplaySettings.<>c<UnityEngine.Rendering.Universal.UniversalRenderPipelineDebugDisplaySettings>",1,0.000,0.000
"System.Collections.Generic.GenericEqualityComparer<System.ValueTuple<System.Type,System.Int32>>",1,0.000,0.000
"System.Collections.Generic.EnumEqualityComparer<UnityEngine.RenderTextureFormat>",1,0.000,0.000
"System.Collections.Generic.ObjectEqualityComparer<UnityEngine.Camera>",1,0.000,0.000
"UnityEngine.Experimental.GlobalIllumination.Lightmapping.<>c",1,0.000,0.000
"System.Array.EmptyInternalEnumerator<System.Type>",1,0.000,0.000
