NameOfObject,Type,Allocated(MB),Resident(MB)
"WINDOW_FRAME_EffectMesh","GameObject",0.000,0.000
"WINDOW_FRAME_EffectMesh","GameObject",0.000,0.000
"WINDOW_FRAME_EffectMesh","GameObject",0.000,0.000
"SCREEN_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"LAMP_EffectMesh","GameObject",0.000,0.000
"SCREEN_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"WALL_ART_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"SCREEN_EffectMesh","GameObject",0.000,0.000
"WINDOW_FRAME_EffectMesh","GameObject",0.000,0.000
"STORAGE_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"OTHER_EffectMesh","GameObject",0.000,0.000
"DOOR_FRAME_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"TABLE_EffectMesh","GameObject",0.000,0.000
"WALL_ART_EffectMesh","GameObject",0.000,0.000
"CEILING_EffectMesh","GameObject",0.000,0.000
"SCREEN_EffectMesh","GameObject",0.000,0.000
"FLOOR_EffectMesh","GameObject",0.000,0.000
"CenterEyeAnchor","GameObject",0.000,0.000
"WALL_FACE_EffectMesh","Transform",0.000,0.000
"WALL_FACE_EffectMesh","Transform",0.000,0.000
"WALL_FACE_EffectMesh","Transform",0.000,0.000
"WALL_FACE_EffectMesh","Transform",0.000,0.000
"SCREEN_EffectMesh","Transform",0.000,0.000
"WALL_ART_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"SCREEN_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"LAMP_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"WINDOW_FRAME_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"SCREEN_EffectMesh","Transform",0.000,0.000
"WINDOW_FRAME_EffectMesh","Transform",0.000,0.000
"STORAGE_EffectMesh","Transform",0.000,0.000
"WINDOW_FRAME_EffectMesh","Transform",0.000,0.000
"WINDOW_FRAME_EffectMesh","Transform",0.000,0.000
"SCREEN_EffectMesh","Transform",0.000,0.000
"WINDOW_FRAME_EffectMesh","Transform",0.000,0.000
"WINDOW_FRAME_EffectMesh","Transform",0.000,0.000
"WINDOW_FRAME_EffectMesh","Transform",0.000,0.000
"SCREEN_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"LAMP_EffectMesh","Transform",0.000,0.000
"SCREEN_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"WALL_ART_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"SCREEN_EffectMesh","Transform",0.000,0.000
"WINDOW_FRAME_EffectMesh","Transform",0.000,0.000
"STORAGE_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"OTHER_EffectMesh","Transform",0.000,0.000
"DOOR_FRAME_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"TABLE_EffectMesh","Transform",0.000,0.000
"WALL_ART_EffectMesh","Transform",0.000,0.000
"CEILING_EffectMesh","Transform",0.000,0.000
"SCREEN_EffectMesh","Transform",0.000,0.000
"FLOOR_EffectMesh","Transform",0.000,0.000
"GLOBAL_MESH","Transform",0.000,0.000
"OVRPassthroughLayer auxiliary GameObject","Transform",0.000,0.000
"LeftControllerAnchor","Transform",0.000,0.000
"RightControllerAnchor","Transform",0.000,0.000
"LeftEyeAnchor","Transform",0.000,0.000
"CenterEyeAnchor","Transform",0.000,0.000
"RightEyeAnchor","Transform",0.000,0.000
"TrackerAnchor","Transform",0.000,0.000
"RightHandAnchorDetached","Transform",0.000,0.000
"LeftHandOnControllerAnchor","Transform",0.000,0.000
"RightHandOnControllerAnchor","Transform",0.000,0.000
"LeftHandAnchorDetached","Transform",0.000,0.000
"","PreloadData",0.000,0.000
"LeftEyeAnchor","GameObject",0.000,0.000
"[BuildingBlock] Passthrough","GameObject",0.000,0.000
"Directional Light","GameObject",0.000,0.000
"","PreloadData",0.000,0.000
"CenterEyeAnchor","AudioListener",0.000,0.000
"OTHER","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_ART","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_ART","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"COUCH","Transform",0.000,0.000
"COUCH","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"COUCH","Transform",0.000,0.000
"COUCH","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"PLANT","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"COUCH","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"SCREEN","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"INVISIBLE_WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_ART","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"DOOR_FRAME","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"PLANT","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"BED","Transform",0.000,0.000
"DOOR_FRAME","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"LAMP","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_ART","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"LAMP","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"COUCH","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"COUCH","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"DOOR_FRAME","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"BED","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"COUCH","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"COUCH","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_ART","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"COUCH","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"DOOR_FRAME","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"PLANT","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"PLANT","Transform",0.000,0.000
"PLANT","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"TABLE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WINDOW_FRAME","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"OTHER","Transform",0.000,0.000
"STORAGE","Transform",0.000,0.000
"WALL_FACE","Transform",0.000,0.000
"DOOR_FRAME","Transform",0.000,0.000
"SCREEN","GameObject",0.000,0.000
"WALL_ART","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"SCREEN","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"LAMP","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"SCREEN","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"SCREEN","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"SCREEN","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"LAMP","GameObject",0.000,0.000
"SCREEN","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"WALL_ART","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"SCREEN","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"DOOR_FRAME","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"WALL_ART","GameObject",0.000,0.000
"GLOBAL_MESH","GameObject",0.000,0.000
"CEILING","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"SCREEN","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"FLOOR","GameObject",0.000,0.000
"Room - eec0d507-b293-a7b5-21cb-46ec078ee670","GameObject",0.000,0.000
"[Debug Updater]","GameObject",0.000,0.000
"OVRPassthroughLayer auxiliary GameObject","GameObject",0.000,0.000
"ImmersiveSceneDebugger","GameObject",0.000,0.000
"RightEyeAnchor","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_ART","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_ART","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"COUCH","GameObject",0.000,0.000
"COUCH","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"COUCH","GameObject",0.000,0.000
"COUCH","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"PLANT","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"COUCH","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"SCREEN","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"INVISIBLE_WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_ART","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"DOOR_FRAME","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"PLANT","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"BED","GameObject",0.000,0.000
"DOOR_FRAME","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"LAMP","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_ART","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"LAMP","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"COUCH","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"COUCH","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"DOOR_FRAME","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"BED","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"COUCH","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"COUCH","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_ART","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"COUCH","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"DOOR_FRAME","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"PLANT","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"PLANT","GameObject",0.000,0.000
"PLANT","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"TABLE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WINDOW_FRAME","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"OTHER","GameObject",0.000,0.000
"STORAGE","GameObject",0.000,0.000
"WALL_FACE","GameObject",0.000,0.000
"DOOR_FRAME","GameObject",0.000,0.000
"LivingRoom02","GameObject",0.000,0.000
"Office09","GameObject",0.000,0.000
"OtherRoom04_empty","GameObject",0.000,0.000
